angle1,angle2,time0,time1,time2,time3,len0,len1,len2
145,180,11:51:17,12:02:00,12:03:44,12:05:13,44'4",89'9",148'3"
145,165,12:06:21,12:12:49,12:13:24,12:14:30,44'4",90'8",129'2"
