angle,time0,time1,time2,time3,len1,len2
0,14:52:00,14:54:27,14:59:18,15:00:53,34'5",80'3"
35,15:02:45,15:08:17,15:11:47,15:15:00,44'11.5",136'0"
70,15:17:05,15:23:03,15:24:40,15:28:00,65'7",145'1"
85,15:30:07,15:32:38,15:35:52,15:37:32,54'11.5",103'0"
110,15:38:59,15:40:16,15:41:54,15:43:17,61'9",85'2"
